generator,noise,strategy,repeats,max_steps,seed,attempt,stop_reason,abs_err_x,uncert,final_entropy,measurements,expected_uniform_points,sobol_baseline_steps,sobol_difference,steps_to_fb,err_fb_at_milestone,err_fc_at_milestone,fc_at_milestone,overall_uncert_at_milestone,final_err_fb,final_err_fc,final_overall_uncert,final_steps,err_fb_diff,err_fc_diff,duration_ms,sweep_steps,locator_steps,dips_detected,total_dip_width,min_dip_width,expected_focused_points,sweep_efficiency,measurements_done,acquisition_lo,acquisition_hi,sobol_freq_steps,sobol_conv_diff
NVCenter-lorentzian,Gauss(0.01),GaussianMixture,3,1200,123,1,locator_stop,51038008.43547726,11587321.81846725,-18.527956805482713,1200,103.62176165803261,5594.0,-1096.3782383419673,,,,,,51038008.43547726,2644890.5052960403,2418894.6559263784,1200,,,137352.2309000109,0,1200,,,,,,,,,,
NVCenter-lorentzian,Gauss(0.01),GaussianMixture,3,1200,123,2,locator_stop,368314441.9776678,66807512.419325225,-18.89014058729683,1200,105.53562005277468,10000.0,-1094.4643799472253,,,,,,368314441.9776678,1286694.9523875555,13553377.078356829,1200,,,168819.41389999702,0,1200,,,,,,,,,,
NVCenter-lorentzian,Gauss(0.01),GaussianMixture,3,1200,123,3,locator_stop,146981395.63797903,220360533.7526302,-16.42738494477083,1200,59.60953800298176,10000.0,-1140.3904619970183,,,,,,146981395.63797903,3223232.3878992093,52029654.31946026,1200,,,153570.1098999998,0,1200,,,,,,,,,,
NVCenter-lorentzian,Gauss(0.01),Bayesian-SBED,5,2000,123,1,locator_stop,13545854.43432045,49945.44360670261,24.659050440478076,29,103.62176165803261,218.0,74.62176165803261,27,3827483.907392502,923795.7396943793,6247734.546661377,1355649.7226255308,13545854.43432045,3167874.9719102606,10619.621825190154,29,-9718370.526927948,-2244079.2322158813,32122.45690000418,0,29,,,,,,,,,,
NVCenter-lorentzian,Gauss(0.01),Bayesian-SBED,5,2000,123,2,locator_stop,3364148.691165924,101662.51013288274,35.04221326583885,2000,105.53562005277468,8092.0,-1894.4643799472253,35,6922478.929031372,3350362.5916660856,6785289.406776428,1475531.9789568197,3364148.691165924,181334.5777214598,45093.255617562834,2000,3558330.237865448,3169028.013944626,1363388.5574000014,0,2000,,,,,,,,,,
NVCenter-lorentzian,Gauss(0.01),Bayesian-SBED,5,2000,123,3,locator_stop,1335129.421341896,50344.977353233844,24.67868163373333,33,59.60953800298176,65.0,26.609538002981758,21,26241.224396705627,2518812.045523443,5585102.9753685,944688.1815145289,1335129.421341896,64637.2328526224,10697.029346006299,33,-1308888.1969451904,2454174.8126708204,21178.257399995346,0,33,,,,,,,,,,
NVCenter-lorentzian,Gauss(0.01),Bayesian-SBED,5,2000,123,4,locator_stop,82899.23771619797,83353.69784617797,35.067334282831624,574,30.463061690784524,376.0,-543.5369383092154,24,3528122.2115397453,2156081.0225831987,5967270.851135254,1437941.0594959478,82899.23771619797,55541.874729347415,45699.763334196075,574,3445222.9738235474,2100539.1478538513,337682.9868000059,0,574,,,,,,,,,,
NVCenter-lorentzian,Gauss(0.01),Bayesian-SBED,5,2000,123,5,locator_stop,22882.368194580078,112562.14929744601,34.57916315248336,2000,42.01470588235361,10000.0,-1957.9852941176464,8,1519775.2455596924,207231.61075841077,6448126.316070557,1027167.9963200841,22882.368194580078,57312.24988232739,50935.68934925765,2000,1496892.8773651123,149919.36087608337,1150406.4473999897,0,2000,,,,,,,,,,
NVCenter-lorentzian,Gauss(0.01),Bayesian-SBED,1,10,123,1,locator_stop,10484965.100934982,111714228.98769379,63.22771102998942,10,103.62176165803261,10000.0,93.62176165803261,,,,,,10484965.100934982,1066385.7856233343,23630081.365895007,10,,,85144.13820000482,0,10,,,,,,,,,2650.0,
NVCenter-lorentzian,Gauss(0.01),SimpleSobol,6,10,123,1,locator_stop,102539448.48472786,137307941.91360474,69.44938978381974,10,103.62176165803261,,93.62176165803261,,,,,,102539448.48472786,1297838.0122621283,24263806.531818677,10,,,643.1302999990294,0,10,,,,,,,,,,
