generator,noise,strategy,repeats,attempt,stop_reason,measurements,steps_to_fb,err_fb_at_milestone,err_fc_at_milestone,fc_at_milestone,overall_uncert_at_milestone,duration_ms,abs_err_x,uncert,final_entropy,dips_detected,total_dip_width,min_dip_width,expected_uniform_points,sweep_efficiency,measurements_done,acquisition_lo,acquisition_hi,final_err_fb,final_err_fc,final_overall_uncert,final_steps,expected_focused_points
NVCenter-lorentzian,Poisson(3000.0),Bayesian-SBED-NoSweep,1,1,locator_stop,0.0,,,,,,517.7287180000576,,,,,,,,,,,,,,,,
NVCenter-lorentzian,Gauss(0.01),Bayesian-SBED-NoSweep,1,1,locator_stop,0.0,,,,,,502.66794800006664,,,,,,,,,,,,,,,,
NVCenter-lorentzian,Poisson(3000.0),GenericSweep,1,1,locator_stop,251.0,,,,,,1285.2988900000355,95300586.93145561,146610739.6977077,20.794415416798383,1.0,0.004008016032064132,0.004008016032064132,249499999999.99976,498999999.9999995,500.0,2746302605.2104206,2765320641.282565,95300586.93145561,3616198.507190818,31198765.577740658,251.0,
NVCenter-lorentzian,Gauss(0.01),GenericSweep,1,1,locator_stop,251.0,,,,,,1328.5837639999727,95300586.93145561,146610739.6977077,20.794415416798383,1.0,0.004008016032064132,0.004008016032064132,249499999999.99976,498999999.9999995,500.0,2600000000.0,2829008016.032064,95300586.93145561,3616198.507190818,31198765.577740658,251.0,
NVCenter-lorentzian,Gauss(0.01),StagedSobolSweep,1,1,locator_stop,500.0,,,,,,4667.336768000041,95300586.93145561,146610739.6977077,20.794415416798383,1.0,3050152.507625109,3050152.507625109,327.8524590164227,0.999550179928118,328.0,2752156524.658203,2762530059.814453,95300586.93145561,3616198.507190818,31198765.577740658,500.0,25.0
NVCenter-lorentzian,Poisson(3000.0),StagedSobolSweep,1,1,locator_stop,500.0,,,,,,4244.438986000091,95300586.93145561,146610739.6977077,20.794415416798383,1.0,3050152.507625109,3050152.507625109,327.8524590164227,0.999550179928118,328.0,2752156524.658203,2762530059.814453,95300586.93145561,3616198.507190818,31198765.577740658,500.0,25.0
NVCenter-voigt,Gauss(0.01),StagedSobolSweep,1,1,locator_stop,500.0,,,,,,6249.598852999952,115113059.54280472,146610739.6977077,24.953298500158063,1.0,4000200.010000232,4000200.010000232,249.98750000001675,0.999950000000067,250.0,2963164062.5,2973781890.8691406,115113059.54280472,883248.6408493281,24812890.480916914,500.0,25.0
NVCenter-voigt,Poisson(3000.0),StagedSobolSweep,1,1,locator_stop,500.0,,,,,,6611.5210320000415,115113059.54280472,146610739.6977077,24.953298500158063,22.0,4000200.010000232,4000200.010000232,249.98750000001675,0.999950000000067,250.0,2963164062.5,2973781890.8691406,115113059.54280472,883248.6408493281,24812890.480916914,500.0,25.0
NVCenter-voigt,Poisson(3000.0),GenericSweep,1,1,locator_stop,251.0,,,,,,3059.736183000041,115113059.54280472,146610739.6977077,24.953298500158063,16.0,0.07212424849699423,0.003987975951904074,13864962489.580393,27729924.979160786,500.0,2640090180.3607216,2656102204.408818,115113059.54280472,883248.6408493281,24812890.480916914,251.0,
NVCenter-voigt,Gauss(0.01),GenericSweep,1,1,locator_stop,251.0,,,,,,3520.229126000004,115113059.54280472,146610739.6977077,24.953298500158063,33.0,0.3627254509018035,0.004008016032064077,2756906077.348067,5513812.154696134,500.0,2600000000.0,2856162324.6492987,115113059.54280472,883248.6408493281,24812890.480916914,251.0,
NVCenter-voigt,Gauss(0.01),Bayesian-SBED-NoSweep,1,1,locator_stop,0.0,,,,,,131.33877799998572,,,,,,,,,,,,,,,,
NVCenter-voigt,Poisson(3000.0),Bayesian-SBED-NoSweep,1,1,locator_stop,0.0,,,,,,87.14320199999293,,,,,,,,,,,,,,,,
NVCenter-lorentzian-narrow,Gauss(0.01),StagedSobolSweep,1,1,locator_stop,500.0,,,,,,2339.035803999991,12660477.207562447,146610739.6977077,20.794415416798383,28.0,875043.7521877208,875043.7521877208,1142.7999999998544,2.2855999999997088,500.0,2856718750.0,2868671875.0,12660477.207562447,285772.11402018997,29445242.49193818,500.0,25.0
NVCenter-lorentzian-narrow,Gauss(0.01),GenericSweep,1,1,locator_stop,500.0,,,,,,1178.8824499999464,12660477.207562447,146610739.6977077,20.794415416798383,30.0,0.0673998599608855,0.0019919356785860765,14836826079.168934,29673652.15833787,500.0,2603757515.0300603,2851753507.014028,12660477.207562447,285772.11402018997,29445242.49193818,500.0,
NVCenter-lorentzian-narrow,Poisson(3000.0),GenericSweep,1,1,locator_stop,500.0,,,,,,1328.3781199999112,12660477.207562447,146610739.6977077,20.794415416798383,3.0,600000.0,200000.0,1666.6666666666667,3.3333333333333335,500.0,2600000000.0,3100000000.0,12660477.207562447,285772.11402018997,29445242.49193818,500.0,
NVCenter-lorentzian-narrow,Gauss(0.01),Bayesian-SBED-NoSweep,1,1,locator_stop,0.0,,,,,,84.14756399997714,,,,,,,,,,,,,,,,
